stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
EMULSION SPECAIL SHADES (SAFARI),,,PCS,,,,,,,,EMULSION SPECAIL SHADES (SAFARI),,,,5711,150.95,-862092.99,eb00fdc85738330f,,
SAFARI Special Shade 1Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (JOLLY HOLLY),,,,142,144.55,-20525.45,271010b6c1a2ea93,,
Safari Special Shade 1Ltr. ( LEMON SHOUFFLE),,,PCS,,,,,,,,Safari Special Shade 1Ltr. ( LEMON SHOUFFLE),,,,117,155.00,-18135.00,9e4964ecbcc63efe,,
SAFARI Special Shade 1Ltr. (PINK),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (PINK),,,,150,161.20,-24180.00,7de80e3b4f6bc575,,
Safari Special Shade 1 LTR. (PURPLE),,,PCS,,,,,,,,Safari Special Shade 1 LTR. (PURPLE),,,,108,165.00,-17820.00,2010c023aee0d33a,,
SAFARI Special Shade 1Ltr. (SIGNAL RED),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (SIGNAL RED),,,,811,165.14,-133930.58,64f124c12f589933,,
SAFARI Special Shade 1Ltr. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (SOOTHING SAPPHIRE),,,,150,164.12,-24617.65,48e8f7479d0e11c9,,
SAFARI Special Shade 1Ltr. (SUNRISE),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (SUNRISE),,,,499,168.87,-84268.50,2dc4ed1b013e2724,,
SAFARI Special Shade 1Ltr. (TERRACOTTA),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (TERRACOTTA),,,,337,159.88,-53879.80,add36d8ced99a778,,
SAFARI Special Shade 1 Ltr. (WHITE),,,PCS,,,,,,,,SAFARI Special Shade 1 Ltr. (WHITE),,,,18,155.00,-2790.00,f8f0cd05b7b4d8dc,,
SAFARI Special Shade 1Ltr. (YELLOW),,,PCS,,,,,,,,SAFARI Special Shade 1Ltr. (YELLOW),,,,206,174.08,-35861.01,173165b86f6a4483,,
SAFARI Special Shade 4Ltr. (JOLLY HOLLY),,,PCS,,,,,,,,SAFARI Special Shade 4Ltr. (JOLLY HOLLY),,,,64,608.00,-38912.00,d7517f41809ed1f6,,
Safari Special Shade 4Ltr. ( LEMON SHOUFFLE),,,PCS,,,,,,,,Safari Special Shade 4Ltr. ( LEMON SHOUFFLE),,,,25,608.00,-15200.00,2b6f4e7f6c7ef445,,
Safari Special Shade 4Ltr. ( OXFORD BLUE),,,PCS,,,,,,,,Safari Special Shade 4Ltr. ( OXFORD BLUE),,,,13,608.00,-7904.00,22ebf537688294e4,,
Safari Special Shade 4Ltr. ( SIGNAL RED),,,PCS,,,,,,,,Safari Special Shade 4Ltr. ( SIGNAL RED),,,,2,648.00,-1296.00,bcead0909288b443,,
Safari Special Shade 4Ltr. (SOOTHING SAPPHIRE),,,PCS,,,,,,,,Safari Special Shade 4Ltr. (SOOTHING SAPPHIRE),,,,63,608.00,-38304.00,eeac7bb179b452e8,,
SAFARI Special Shade 4LTR. ( SUNRISE),,,PCS,,,,,,,,SAFARI Special Shade 4LTR. ( SUNRISE),,,,10,648.00,-6480.00,adbf68b41c26a05f,,
SAFARI Special Shade 4Ltr. (TERRACOTTA),,,PCS,,,,,,,,SAFARI Special Shade 4Ltr. (TERRACOTTA),,,,31,648.00,-20088.00,bb0e14b38ec1b60b,,
