stock_item_name,qty,unit,rate,amount,amount_abs
CMC YBOON,133.800,KG,336.67,-45046.00,45046.00
Drier Combination 25,75.000,KG,196.67,-14750.00,14750.00
ELECTRICALS PRODUCT,1.000,QTY,900.00,-900.00,900.00
EMDICRYL 2495 (240Kg),720.000,KG,78.00,-56160.00,56160.00
EMDILITH DP 09 (250KG),250.000,KG,115.00,-28750.00,28750.00
Eurocryl 4020 (235kgs),1645.000,KG,98.00,-161210.00,161210.00
Eurocryl 7001 (235 Kgs),2115.000,KG,71.00,-150165.00,150165.00
GLOVES EXMINATION M,20.000,QTY,165.18,-3303.60,3303.60
HP 2590,1,PCS,3644.07,-3644.07,3644.07
Indofil AT 140 245 KGS,245.000,KG,112.00,-27440.00,27440.00
Industrial Solvent (Ltr),800.000,LTR,63.50,-50800.00,50800.00
INNER PLUG,500,PCS,6.00,-3000.00,3000.00
INOX 20LTR,3,BKT,33466.67,-100400.00,100400.00
INOX DISTEMPER 20 KG BUCKETWITH LID,210,PCS,120.00,-25200.00,25200.00
INOX DISTEMPER BUCKET 10 KG WITH LID,152,PCS,70.00,-10640.00,10640.00
INOX DISTEMPER BUCKET 5KG WITH LID,329,PCS,40.00,-13160.00,13160.00
JJ-2431 (50%),440.000,KG,75.00,-33000.00,33000.00
JJ FOAM 7010 DEFOAMER (45KG),225.000,KG,202.00,-45450.00,45450.00
Job Advertising Ad,1.000,QTY,2200.00,-2200.00,2200.00
LD/HM/PP Bags and Roll Kg,367.774,KG,120.36,-44264.64,44264.64
LIBO OIL AND & SE PAINT 2719,-100.000,KG,,,
Liquor Ammonia,387.700,KG,45.04,-17460.20,17460.20
Maize Starch Bag,80,BAG,370.54,-29642.80,29642.80
Marble Powder 9500,34992.000,KG,4.54,-158854.58,158854.58
Marble Powder 9900,32513.000,KG,5.32,-172899.91,172899.91
MEG,230.300,KG,74.16,-17077.98,17077.98
Metazolone FM,200.000,KG,61.25,-12250.00,12250.00
Mineral Powder (25kg),3000.000,KG,10.92,-32749.98,32749.98
MINERAL (TURKEY) 25KG,2000.000,KG,9.75,-19500.00,19500.00
Minifine Blue 1611,42.300,KG,318.00,-13451.40,13451.40
Minifine Green BT,172.800,KG,370.00,-63936.00,63936.00
Minifine Red 1551 (Interior),50.000,KG,406.00,-20300.00,20300.00
Minifine Signal Red 48,191.950,KG,408.00,-78315.60,78315.60
Minifine Signal Red Special,110.000,KG,549.64,-60460.00,60460.00
Minifine Traffic Yellow 4583,100.000,KG,258.00,-25800.00,25800.00
Minifine Yellow 1574,477.000,KG,215.55,-102816.09,102816.09
Minifine Yellow Green 1621,230.000,KG,310.78,-71480.00,71480.00
NATROSOL 250 HHBR (HEC),50.000,KG,670.00,-33500.00,33500.00
NDW,28.100,KG,,,
Orton 731,24.580,KG,151.50,-3723.87,3723.87
PAINT OIL,1250.000,KG,80.64,-100797.20,100797.20
Paint Oils,2000.000,LTR,50.42,-100847.46,100847.46
Pig.Paste Black,50.000,KG,115.00,-5750.00,5750.00
Pig.Paste Green B,285.500,KG,325.00,-92787.50,92787.50
Pig.Paste Pink,50.000,KG,625.00,-31250.00,31250.00
Pig Paste Red 551,200.000,KG,395.00,-79000.00,79000.00
Pig Paste Red Violet-Rosella,100.000,KG,425.00,-42500.00,42500.00
Pig.Paste Royal Blue,300.000,KG,290.00,-87000.00,87000.00
Pig.Paste Signal Red,250.000,KG,365.00,-91250.00,91250.00
Pig Paste Special Signal Red,100.000,KG,435.00,-43500.00,43500.00
Pigpaste Traffic Yellow,150.000,KG,250.00,-37500.00,37500.00
Pig.Paste Violet,50.000,KG,525.00,-26250.00,26250.00
Pigpaste Yellow-74,100.000,KG,210.00,-21000.00,21000.00
Pig.Paste Yellow Green,150.000,KG,330.00,-49500.00,49500.00
Pinoil,12.600,KG,163.46,-2059.60,2059.60
Plastic Bucket Paint 10kg (Safari Distemper),441,PCS,80.00,-35280.00,35280.00
Plastic Bucket Paint 10Ltr. (Safari Lux.),1078,PCS,95.00,-102410.00,102410.00
Plastic Bucket Paint 1kg (Safari Distemper),1158,PCS,12.00,-13896.00,13896.00
Plastic Bucket Paint 1Ltr. (Safari Lux.),5385,PCS,15.00,-80775.00,80775.00
Plastic Bucket Paint 20kg (Safari Distemper),452,PCS,121.00,-54692.00,54692.00
Plastic Bucket Paint 20Ltr. (Safari Lux.),928,PCS,143.00,-132704.00,132704.00
Plastic Bucket Paint 4Ltr. (Safari Lux.),2344,PCS,42.00,-98448.00,98448.00
Plastic Bucket Paint 5kg (Safari Distemper),894,PCS,40.00,-35760.00,35760.00
Plastic Bucket Squire 10kg (Sapphire),100,PCS,74.00,-7400.00,7400.00
Plastic Bucket Squire 20kg (Sapphire),100,PCS,130.00,-13000.00,13000.00
Preventol D- 6 Gf,630.250,KG,65.86,-41508.98,41508.98
Primal AC-261S Acrylic Emulsion,1645.000,KG,108.29,-178129.98,178129.98
Printed Flexible Laminated (INOX),395.000,KG,207.63,-82013.85,82013.85
Printed Flexible Laminated (Safari Pouch),949.600,KG,208.69,-198170.64,198170.64
Red-3 1551,5.000,KG,,,
Resin Mix Industrial Solvent,216.000,LTR,61.00,-13176.00,13176.00
Soapstone Powder (50kg),2000.000,KG,14.00,-28000.00,28000.00
Sodium Carboxymethyl Cellulose Cmc) 25kgs Eagle),175.000,KG,301.43,-52750.00,52750.00
Starch Powder,1440.000,KG,42.40,-61056.00,61056.00
Styrene Acrylic Emulsion,1888.000,KG,78.23,-147702.96,147702.96
SUN A 0009A 640,220.000,KG,176.00,-38720.00,38720.00
Syn. Iron Oxide Pigment - Red,1825.000,KG,108.11,-197291.64,197291.64
Syn. Iron Oxide Pigment - Yellow,25.000,KG,110.00,-2750.00,2750.00
Synthatic CNSL Resins,2010.000,KG,63.82,-128280.57,128280.57
Synthtic Alkyed Resins,400.000,KG,117.00,-46800.00,46800.00
Tally Prime,1.000,QTY,8100.00,-8100.00,8100.00
Titanium Dioxide-32061110,1155.000,KG,263.10,-303884.10,303884.10
TULSI CHINA-052,5000.000,KG,10.00,-50000.00,50000.00
TULSI CHINA-053,5000.000,KG,9.00,-45000.00,45000.00
SAFARI DISTEMPER BUCKET,1371,PCS,361.81,-496047.03,496047.03
SAFARI Double Bond Distemper 10kg (AQUAMARINE),67,PCS,113.21,-7585.33,7585.33
SAFARI Double Bond Distemper 10kg (CANDY),11,PCS,450.00,-4950.00,4950.00
SAFARI Double Bond Distemper 10kg (DAFFODIL),30,PCS,507.71,-15231.36,15231.36
SAFARI Double Bond Distemper 10kg (ELECTRIC BLUE),18,PCS,268.03,-4824.62,4824.62
SAFARI Double Bond Distemper 10kg (JAIPURIYA PINK),5,PCS,720.00,-3600.00,3600.00
SAFARI Double Bond Distemper 10kg (JOLLY HOLLY),3,PCS,450.00,-1350.00,1350.00
SAFARI Double Bond Distemper 10kg (LIGHT GREEN),26,PCS,250.00,-6500.00,6500.00
SAFARI Double Bond Distemper 10kg (LIRIL),,,,-40.00,40.00
SAFARI Double Bond Distemper 10kg (MEGENTA),2,PCS,475.00,-950.00,950.00
SAFARI Double Bond Distemper 10kg (MERRY PINK),6,PCS,450.00,-2700.00,2700.00
SAFARI Double Bond Distemper 10kg (PALE CREAM),10,PCS,450.00,-4500.00,4500.00
SAFARI Double Bond Distemper 10kg (PALE ROSE),15,PCS,359.33,-5390.00,5390.00
SAFARI Double Bond Distemper 10kg (PARROT GREEN),16,PCS,206.25,-3300.00,3300.00
