stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,closing_qty,closing_rate,closing_amount,closing_amount_abs
Minifine Signal Red Special,,,KG,,,,,,,,110.000,549.64,-60460.00,60460.00
Minifine Traffic Yellow 4583,,,KG,,,,,,,,100.000,258.00,-25800.00,25800.00
Minifine Yellow 1574,,,KG,,,,,,,,477.000,215.55,-102816.09,102816.09
Minifine Yellow Green 1621,,,KG,,,,,,,,230.000,310.78,-71480.00,71480.00
NATROSOL 250 HHBR (HEC),,,KG,,,,,,,,50.000,670.00,-33500.00,33500.00
NDW,,,KG,,,,,,,,28.100,,,
Orton 731,,,KG,,,,,,,,24.580,151.50,-3723.87,3723.87
PAINT OIL,,,KG,,,,,,,,1250.000,80.64,-100797.20,100797.20
Paint Oils,,,LTR,,,,,,,,2000.000,50.42,-100847.46,100847.46
Pig.Paste Black,,,KG,,,,,,,,50.000,115.00,-5750.00,5750.00
Pig.Paste Green B,,,KG,,,,,,,,285.500,325.00,-92787.50,92787.50
Pig.Paste Pink,,,KG,,,,,,,,50.000,625.00,-31250.00,31250.00
Pig Paste Red 551,,,KG,,,,,,,,200.000,395.00,-79000.00,79000.00
Pig Paste Red Violet-Rosella,,,KG,,,,,,,,100.000,425.00,-42500.00,42500.00
Pig.Paste Royal Blue,,,KG,,,,,,,,300.000,290.00,-87000.00,87000.00
Pig.Paste Signal Red,,,KG,,,,,,,,250.000,365.00,-91250.00,91250.00
Pig Paste Special Signal Red,,,KG,,,,,,,,100.000,435.00,-43500.00,43500.00
Pigpaste Traffic Yellow,,,KG,,,,,,,,150.000,250.00,-37500.00,37500.00
Pig.Paste Violet,,,KG,,,,,,,,50.000,525.00,-26250.00,26250.00
Pigpaste Yellow-74,,,KG,,,,,,,,100.000,210.00,-21000.00,21000.00
Pig.Paste Yellow Green,,,KG,,,,,,,,150.000,330.00,-49500.00,49500.00
Pinoil,,,KG,,,,,,,,12.600,163.46,-2059.60,2059.60
Plastic Bucket Paint 10kg (Safari Distemper),,,PCS,,,,,,,,441,80.00,-35280.00,35280.00
Plastic Bucket Paint 10Ltr. (Safari Lux.),,,PCS,,,,,,,,1078,95.00,-102410.00,102410.00
Plastic Bucket Paint 1kg (Safari Distemper),,,PCS,,,,,,,,1158,12.00,-13896.00,13896.00
Plastic Bucket Paint 1Ltr. (Safari Lux.),,,PCS,,,,,,,,5385,15.00,-80775.00,80775.00
Plastic Bucket Paint 20kg (Safari Distemper),,,PCS,,,,,,,,452,121.00,-54692.00,54692.00
Plastic Bucket Paint 20Ltr. (Safari Lux.),,,PCS,,,,,,,,928,143.00,-132704.00,132704.00
